ID,Question,Topic,Difficulty,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Solution_Steps,Video_Link
1,A man buys a pen for ₹20 and sells it for ₹25. What is his profit percentage?,Profit and Loss,Easy,20%,25%,15%,10%,B,Profit = 25 - 20 = ₹5; Profit% = (5/20)*100 = 25%,https://youtu.be/8U4uA0dz5zU
2,What is 20% of 150?,Percentages,Easy,20,25,30,35,C,20% of 150 = (20/100) * 150 = 30,https://youtu.be/5rKMmJ7rCGU
3,"If the average of 5, 10, 15 is __?",Averages,Easy,10,15,20,5,A,Average = (5+10+15)/3 = 30/3 = 10,https://youtu.be/h9f7FXhMgQ4
4,A train travels 60 km in 1.5 hours. What is its speed?,Time Speed Distance,Easy,40 km/hr,45 km/hr,50 km/hr,60 km/hr,A,Speed = Distance/Time = 60/1.5 = 40 km/hr,https://youtu.be/6HpFKynRG78
5,"If the ratio of boys to girls is 3:2 and total students are 50, how many girls are there?",Ratio and Proportion,Easy,20,25,30,15,A,Total parts = 3+2=5; Each part = 50/5=10; Girls = 2×10=20,https://youtu.be/xz-xWJ7da0k
6,Find the simple interest on ₹1000 at 5% for 2 years.,Simple Interest,Easy,₹50,₹100,₹150,₹200,B,SI = (P×R×T)/100 = (1000×5×2)/100 = ₹100,https://youtu.be/HFn3Wrpkl8E
7,A tap fills a tank in 4 hours. How much part will it fill in 1 hour?,Time and Work,Easy,1/2,1/3,1/4,1/5,C,In 4 hrs → full tank; in 1 hr → 1/4,https://youtu.be/OguGEqgA9Go
8,"If cost price is ₹80 and loss is ₹20, what is selling price?",Profit and Loss,Easy,₹100,₹60,₹70,₹90,B,Loss = 20; SP = CP - Loss = 80 - 20 = ₹60,https://youtu.be/Ng5Ma9Ppftg
9,What is the LCM of 4 and 6?,LCM,Easy,10,12,14,8,B,"Multiples of 4 = 4,8,12...; 6 = 6,12... → LCM = 12",https://youtu.be/SMPxmmD1_CI
10,A man walks 20 km at 4 km/hr. How long will he take?,Time Speed Distance,Easy,4 hrs,5 hrs,6 hrs,7 hrs,B,Time = Distance/Speed = 20/4 = 5 hrs,https://youtu.be/QpLgwe_4uZ0
11,A man bought 2 shirts at ₹400 each. He sold one at 10% profit and the other at 10% loss. What is overall profit/loss?,Profit and Loss,Medium,No profit no loss,5% profit,5% loss,2% loss,A,"Profit = 10%, Loss = 10%; Net Effect = (10*10)/100 = 1% loss → Overall = No profit no loss",https://youtu.be/f1vnl7PEAac
12,"If 25% of a number is 80, what is the number?",Percentages,Medium,200,320,240,400,D,25% of x = 80 ⇒ x = 80 * 100 / 25 = 320,https://youtu.be/Zi_2E5Lh1RI
13,The average age of 4 members is 25 years. A new member joins and the average becomes 26. What is the age of the new member?,Averages,Medium,30,34,35,40,D,Total = 4×25 = 100; New total = 5×26 = 130; New member = 130 - 100 = 30,https://youtu.be/Lv9dIVAX3Yo
14,A car travels 60 km at 30 km/hr and returns at 20 km/hr. What is average speed?,Time Speed Distance,Medium,25 km/hr,24 km/hr,22.5 km/hr,26 km/hr,B,Avg speed = (2xy)/(x+y) = (2×30×20)/(30+20) = 24,https://youtu.be/EbVgHEbXu2Y
15,"In a mixture of 60 litres, milk and water are in the ratio 2:1. How much water should be added to make ratio 1:2?",Mixture and Alligation,Medium,30,40,50,60,D,"Milk = 40, Water = 20; Let x be added: 40:(20+x)=1:2⇒80=20+X⇒X=60",https://youtu.be/LVPqdLjR_RI
16,A and B can complete a work in 12 and 15 days respectively. They work together for 4 days. What fraction of work is left?,Time and Work,Medium,1/5,1/4,1/3,2/5,C,A’s 1 day work = 1/12; B = 1/15; Combined = 3/20; In 4 days = 4×3/20 = 12/20 ⇒ Left = 1 - 12/20 = 8/20 = 2/5,https://youtu.be/O7GpUZP0hSA
17,The cost price of 12 items is equal to the selling price of 10 items. What is the profit percentage?,Profit and Loss,Medium,10%,20%,25%,16.67%,D,CP of 12 = SP of 10 ⇒ SP = 12/10×CP ⇒ Profit% = (2/10)×100 = 20%,https://youtu.be/qjxNeqR6MyM
18,Two numbers are in the ratio 3:4. Their LCM is 84. What is the HCF?,LCM & HCF,Medium,7,6,4,3,B,Let numbers = 3x and 4x ⇒ LCM = (3x×4x)/HCF = 12x²/HCF = 84 ⇒ Solve ⇒ HCF = 6,https://youtu.be/gRB1kDWunmk
19,The difference between compound and simple interest on ₹5000 at 10% for 2 years is?,Simple and Compound Interest,Medium,₹25,₹50,₹100,₹75,A,CI = 5000(1+0.1)^2 - 5000 = ₹1050 - 1000 = ₹50; SI = 1000; Difference = 50,https://youtu.be/nIxE88GxHmk
20,How many 3-digit numbers are divisible by 7?,Divisibility,Medium,128,129,130,131,B,First 3-digit = 105; Last = 994; Total = (994 - 105)/7 + 1 = 129,https://youtu.be/b_N3QOfCM1Q
